自治体,タイトル,URL,取得日
埼玉県,【委託候補者の決定】ねんりんピック彩の国さいたま2026ボランティア運営等業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/b0617/nenrin-saitama2026/proposal0224.html,2026-05-02
埼玉県,令和8年度埼玉県省エネナビゲーター事業等運営業務公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0502/shouene-shindan/r8itaku-proposal-navi.html,2026-05-02
埼玉県,【委託候補者の決定】ねんりんピック彩の国さいたま2026装飾等業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/b0617/nenrin/08022401.html,2026-05-02
埼玉県,令和8年度埼玉県こどもの心の地域子育て支援事業における企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0704/library-info/2026huwariitaku.html,2026-05-02
埼玉県,【募集終了】「埼玉技能甲子園（仮称）運営等業務委託」企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0811/kikakutiankyougi/r8ginoukoshien.html,2026-05-02
埼玉県,【募集終了】「高等技術専門校の在り方検討に係るコンサルティング等業務委託」企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0811/kikakutiankyougi/r8arikatakentou.html,2026-05-02
埼玉県,【契約先候補者決定】北部地域振興交流拠点モデルオフィス整備業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/hokubu/r7competitin_model.html,2026-05-02
埼玉県,令和8年度埼玉県産農産物重点的ブランド化支援業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_agri.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度精神障害にも対応したアウトリーチ事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/outreach/r8kikakuteiann.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度入院者訪問支援事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/nyuuinsya/r8nyuuinsyakikakuteian.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度ピアカウンセリング事業（精神障害者本人及び精神障害者の家族による）業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/piakikakuteiann/r8piakikakuteiann.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度精神障害者地域活動促進事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/seiintiikikatudousokusin/r8tiikikatudoukikakuteian.html,2026-05-02
埼玉県,スポーツ科学拠点施設整備運営事業アドバイザリー業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/sportskagakupuropo.html,2026-05-02
埼玉県,令和8年度埼玉県梨新品種ブランディング支援業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_newpear.html,2026-05-02
埼玉県,【募集終了】スマートステーション「flat（フラット）」における令和8年度障害者就労支援アドバイザー業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0201/flat2/adv_kikakuteian_r8.html,2026-05-02
埼玉県,令和8年度高次脳機能障害ピア・カウンセリング事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/kouzinou/r8kikakutean.html,2026-05-02
埼玉県,令和8年度見沼代用水開削300周年記念事業業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0906/suiritiyouseikanri/20260315.html,2026-05-02
埼玉県,【契約先候補者決定】令和8年度立地ニーズの掘り起しに向けた全国調査業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0804/zennkokuchousagyoumuitaku.html,2026-05-02
埼玉県,【契約先候補者決定】埼玉県の魅力プロモーションにおける動画作成・SNS配信業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0804/kikakuteian_r8sc_sns.html,2026-05-02
埼玉県,「令和8年度トラスト保全地保全管理業務委託」に係る公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0508/trustohozen-koubo2026.html,2026-05-02
埼玉県,令和8年度埼玉県農産物輸出プロモーション事業業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_export_promotion.html,2026-05-02
埼玉県,【契約候補者の決定】スポーツ科学を活用したトップパラアスリート輩出事業委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/platinum/2026parasportsproposal.html,2026-05-02
埼玉県,【契約候補者の決定】全国障害者スポーツ大会埼玉県選手団派遣事業等業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/zensupo/2026proposal.html,2026-05-02
埼玉県,令和8年度埼玉県産農産物市場実態等調査業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_invest_fruits.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度価格転嫁の円滑化に向けた働き掛け及び伴走支援業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0801/bansoshien.html,2026-05-02
埼玉県,（募集終了）令和8年度SAITAMAリバーサポーターズプロジェクト事業支援業務及びデジタルポイントカードによる参加促進企画「リバサポ・クエスト」業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0505/riversupporters/proposal2026rs.html,2026-05-02
埼玉県,【委託先候補者の決定】埼玉県消防学校再整備基本計画策定等支援業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0404/nyusatsu/syoubougakkou_r7competition.html,2026-05-02
埼玉県,【募集終了】令和8年度埼玉県返礼品付ふるさと納税業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0106/r8henreihinfurusatonouzei.html,2026-05-02
埼玉県,【契約先候補者決定】北部地域振興交流拠点整備事業アドバイザリー業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/hokubu/r7competition.html,2026-05-02
埼玉県,令和８年度埼玉県聴覚障害者情報提供総合推進事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/syakaisanka/r8chokakusogoitakukikakuteian.html,2026-05-02
埼玉県,令和８年度埼玉県盲ろう者向け通訳・介助員養成及び派遣事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/syakaisanka/r8moroitakukikakuteian.html,2026-05-02
埼玉県,令和8年度プレコンセプションケア相談センター事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0704/boshi/r8puretama.html,2026-05-02
埼玉県,令和8年度プレコンセプションケア普及啓発事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0704/boshi/r8purekonhukyuukeihatu.html,2026-05-02
埼玉県,【募集終了】令和8年度 埼玉版スーパー・シティプロジェクト官民連携による市町村まちづくり支援等業務委託に関する公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0503/r8sscp-proposal.html,2026-05-02
埼玉県,【募集終了】令和8年度学生向け起業伴走プログラム業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0803/shibusawa-mix/r8gakusei-itaku.html,2026-05-02
埼玉県,【募集終了】令和8年度スタートアップ創出・成長支援プログラム業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0803/sspj/saron/r8_startup-itaku.html,2026-05-02
埼玉県,令和8年度埼玉県公式Instagram「埼玉わっしょい」運用支援業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_instagram_wassyoi.html,2026-05-02
埼玉県,メタバース空間を活用した不登校児童生徒等支援業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/soshiki/f2209/documents/meta.html,2026-05-02
埼玉県,埼玉県伝統文化魅力発信アプリ運用保守及び利用促進プロモーション業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0305/proposal-denntou-appri2026_syuusei.html,2026-05-02
埼玉県,【募集終了】令和8年度埼玉県バーチャルユースセンター運営業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0307/vyc/20260216_koubo.html,2026-05-02
埼玉県,埼玉県議会政務活動費管理システム提供業務に関する公募型プロポーザルについて,https://www.pref.saitama.lg.jp/f1603/seimukatsudouhi/kikakuteian_r8.html,2026-05-02
埼玉県,令和8年度シニアの活躍の場の拡大事業業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0813/siniakatsuyaku-koubo/r8-seniorkigyou-koubo.html,2026-05-02
埼玉県,【委託先候補者決定】発達障害者就労支援センター事業業務委託公募型企画提案競技の実施について,https://www.pref.saitama.lg.jp/b0614/jobkikaku.html,2026-05-02
埼玉県,【委託先候補者決定】発達障害ペアレントメンター事業業務委託公募型企画提案競技の実施について,https://www.pref.saitama.lg.jp/b0614/mentorkikaku.html,2026-05-02
埼玉県,【募集終了】令和8年度オープンイノベーション創出・促進事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0803/sspj/saron/r8_oi-itaku.html,2026-05-02
埼玉県,【委託先候補者決定】集団療育手法普及事業業務委託公募型企画提案競技の実施について,https://www.pref.saitama.lg.jp/b0614/syuudanryouikukikaku.html,2026-05-02
埼玉県,【募集終了】彩の国BCPサポーター登録等業務委託の企画提案競技の実施について（令和8年度）,https://www.pref.saitama.lg.jp/a0805/bcp/proposal2026.html,2026-05-02
埼玉県,令和8年度70歳雇用制度導入アドバイザー派遣業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0813/siniakatsuyaku-koubo/r8-70saikoyouseidoadvisor-koubo.html,2026-05-02
埼玉県,令和8年度新埼玉県立図書館新システム要件整理等支援業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/f2215/toshokan/r8competition.html,2026-05-02
埼玉県,【募集終了】令和8年度先輩移住者による移住相談業務 企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0106/senpai_ijusha.html,2026-05-02
埼玉県,【委託先候補者決定】令和8年度Instagram埼玉県公式アカウント運用サポート業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0314/sainokuni/r8instagram.html,2026-05-02
埼玉県,【募集終了】埼玉県AI移住コンシェルジュ導入業務 企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0106/r8ai/r8ai.html,2026-05-02
埼玉県,令和8年度介護の魅力PR推進事業業務委託契約に係る企画提案の公募（プロポーザル）,https://www.pref.saitama.lg.jp/a0603/miryokupr.html,2026-05-02
埼玉県,令和8年度パラスポーツ用具貸出し事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/yogukashidashi2026.html,2026-05-02
埼玉県,令和8年度 朝霞児童相談所一時保護所学習支援業務に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/b0618/gakusyuu/20260205.html,2026-05-02
埼玉県,【募集終了】令和8年度「さいたまけん★こどものこえ」メンバー募集に係る広報業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0607/kodomonokoe/r8kikakuteiann.html,2026-05-02
埼玉県,令和8年度埼玉県介護職員キャリアアップ研修事業業務委託契約に係る企画提案の公募（プロポーザル）,https://www.pref.saitama.lg.jp/a0603/careerup.html,2026-05-02
埼玉県,令和8年度新人看護職員定着支援事業業務委託の公募型企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0709/kikakuteiankyougi/shinzin.html,2026-05-02
埼玉県,「すぽったま！」における試合観戦促進コンテンツ制作等業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/webapplication/nyuusatu080227.html,2026-05-02
埼玉県,令和8年度県内中小企業若手社員等合同研修会業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/rodo/2026wakate.html,2026-05-02
埼玉県,埼玉県カスタマーハラスメント防止条例解説動画作成業務及びカスタマーハラスメント防止対策セミナー開催業務並びにカスタマーハラスメントに関する総合相談窓口運営業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/rodo/r8customerharassment_douga_seminar_madoguti.html,2026-05-02
埼玉県,埼玉県カスタマーハラスメント防止対策周知業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/rodo/r8customerharassment_syuchi.html,2026-05-02
埼玉県,働き方改革推進アドバイザー及びカスタマーハラスメント防止対策コンサルタント派遣業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/rodo/r8customerharassment_ad_con.html,2026-05-02
埼玉県,令和8年度埼玉県指定難病継続申請受付事務等業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0705/nanbyoitaku8.html,2026-05-02
埼玉県,令和8年度埼玉県生活保護関係事業等業務委託に関する公募プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0602/kikakuteian2026.html,2026-05-02
埼玉県,「介護テクノロジー導入・業務改善支援センター業務委託」の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0603/ictdounyu.html,2026-05-02
埼玉県,令和8年度 埼玉県外国人介護人材雇用促進事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0603/jinzaikakuho/r8gaikokujinkoyousokusin.html,2026-05-02
埼玉県,【募集終了】産業団地を核としたサーキュラーエコノミー推進事業業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8_sangyoudanchice.html,2026-05-02
埼玉県,令和7年度埼玉県失語症者向け意思疎通支援者養成及び派遣事業業務委託契約に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/syakaisanka/r7shitsugokikakuteian.html,2026-05-02
